               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.018569,           0.0038423,                   0,             0.87977,             0.83956,             0.91532,             0.73684,           0.0093134,           0.0049031,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.018366,           0.0038061,                   0,             0.88044,             0.84149,             0.91637,              0.7387,           0.0093068,           0.0048859,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.017927,           0.0035847,                   0,             0.88007,             0.83892,              0.9171,             0.73877,           0.0093166,           0.0048737,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.018198,            0.003728,                   0,             0.88202,             0.83892,             0.91665,             0.73804,           0.0093234,           0.0048603,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.017922,            0.003792,                   0,             0.88042,             0.84085,             0.91628,             0.73778,           0.0093244,           0.0048499,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.017746,           0.0037151,                   0,             0.88236,             0.84091,             0.91645,              0.7385,           0.0093235,            0.004852,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.017841,           0.0036578,                   0,             0.88339,             0.83957,              0.9176,             0.73888,            0.009314,           0.0048533,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.017881,           0.0035326,                   0,             0.88211,             0.83892,             0.91747,             0.73953,           0.0092964,           0.0048691,                   0,            0.002344,            0.002344,            0.002344
                 118,             0.01783,           0.0035528,                   0,             0.88837,             0.84097,             0.91738,             0.73944,           0.0092934,           0.0048928,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.017269,           0.0035574,                   0,             0.88605,             0.83892,             0.91721,             0.73937,           0.0092974,           0.0049092,                   0,            0.002212,            0.002212,            0.002212
                 120,             0.01783,           0.0036199,                   0,             0.88792,              0.8357,             0.91745,             0.73932,           0.0093034,           0.0049249,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.017481,            0.003431,                   0,             0.88761,             0.83827,             0.91784,             0.73937,           0.0093149,           0.0049368,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.017696,           0.0036566,                   0,             0.88655,             0.84085,             0.91804,             0.73942,           0.0093221,           0.0049483,                   0,            0.002014,            0.002014,            0.002014
                 123,             0.01754,           0.0035021,                   0,             0.88932,             0.83874,             0.91722,             0.73871,           0.0093302,           0.0049641,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.017365,           0.0035577,                   0,             0.88656,             0.84091,             0.91688,             0.73868,           0.0093301,           0.0049764,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.017507,           0.0035147,                   0,             0.88555,             0.84149,             0.91651,             0.73926,           0.0093306,           0.0049904,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.017293,           0.0033662,                   0,             0.88086,             0.84322,             0.91635,             0.73912,           0.0093257,           0.0050059,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.017427,           0.0034778,                   0,             0.88052,             0.84085,             0.91579,             0.73864,           0.0093219,           0.0050111,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.016815,           0.0033729,                   0,             0.88239,             0.84278,             0.91658,              0.7386,           0.0093201,           0.0050233,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.016937,           0.0035198,                   0,             0.88182,             0.84343,             0.91645,             0.73896,           0.0093176,           0.0050362,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.017221,           0.0034893,                   0,              0.8804,             0.84423,             0.91606,             0.73802,           0.0093143,           0.0050554,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.016679,           0.0033557,                   0,             0.88179,             0.84214,             0.91566,             0.73749,           0.0093104,           0.0050686,                   0,             0.00142,             0.00142,             0.00142
                 132,             0.01663,           0.0033164,                   0,             0.87957,             0.84235,             0.91554,             0.73679,           0.0093034,           0.0050817,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.016475,           0.0033691,                   0,              0.8822,             0.83963,             0.91541,             0.73672,           0.0093013,           0.0051045,                   0,            0.001288,            0.001288,            0.001288
                 134,              0.0164,           0.0033124,                   0,             0.88545,             0.83505,             0.91498,             0.73698,           0.0093005,           0.0051251,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.016701,            0.003476,                   0,             0.88751,             0.83505,             0.91462,             0.73707,           0.0092966,           0.0051382,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.016255,           0.0031731,                   0,             0.88829,              0.8351,             0.91433,             0.73704,           0.0092932,           0.0051527,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.016346,            0.003187,                   0,             0.88815,             0.83396,             0.91345,             0.73667,           0.0092887,           0.0051682,                   0,            0.001024,            0.001024,            0.001024
